,materia,a.conhecimento
1659,Gestão de Operações,Negócios e Administração
1660,Modelos de Previsão e Decisão em Negócios,Negócios e Administração
1661,Análise do Ambiente de Negócios Digitais,Negócios e Administração
1662,Consumo e Entretenimento Digital,Negócios e Administração
1663,Análise de Novos Negócios,Negócios e Administração
1664,Gestão de Mudanças,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1665,Gestão da Inovação,Negócios e Administração
1666,Administração Financeira,Negócios e Administração
1667,Planejamento Estratégico,Negócios e Administração
1668,Gestão de TI,Negócios e Administração
1669,Desenvolvimento de Produtos Digitais,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1670,Gestão e Qualidade,Negócios e Administração
1671,Estruturas de Governança e Sucessão,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1672,Diplomacy And International Negotiation,Negócios e Administração
1673,Branding and International Communication,Negócios e Administração
1674,Direito Tributário,Direito
